State Name,AC Name,AC No,Type,Year,Position,District,Winning Candidate Party,Total Electors,Total Votes,Party Type,Poll %,Margin,Margin %,Election Type,
Delhi,KOTLA FEROZE SHAH,1,GEN,1951,Winner,Delhi,INC,15254,8258,National,54.14,1989,24.09,Vidhan Sabha,
Delhi,PARLIAMENT STREET,2,GEN,1951,Winner,Delhi,INC,16691,8400,National,50.33,3067,36.51,Vidhan Sabha,
Delhi,SAFDAR JANG,3,GEN,1951,Winner,Delhi,INC,16258,7228,National,44.46,4828,66.8,Vidhan Sabha,
Delhi,LODHI ROAD,4,GEN,1951,Winner,Delhi,INC,14667,7928,National,54.05,1798,22.68,Vidhan Sabha,
Delhi,PURANA QILLA VINEY NAGAR,5,GEN,1951,Winner,Delhi,INC,15943,7899,National,49.55,2788,35.3,Vidhan Sabha,
Delhi,DELHI CANTT,6,GEN,1951,Winner,Delhi,INC,14951,7836,National,52.41,1376,17.56,Vidhan Sabha,
Delhi,READING ROAD,7,GEN,1951,Winner 1,Delhi,BJS,28506,16769,National,58.83,0,0,Vidhan Sabha,
Delhi,READING ROAD,7,GEN,1951,Winner 2,Delhi,INC,28506,16769,National,58.83,0,0,Vidhan Sabha,
Delhi,CHITTAR GUPTA,8,GEN,1951,Winner,Delhi,INC,14418,8466,National,58.72,1587,18.75,Vidhan Sabha,
Delhi,MANTOLA,9,GEN,1951,Winner,Delhi,INC,15583,10396,National,66.71,283,2.72,Vidhan Sabha,
Delhi,RAM NAGAR,10,GEN,1951,Winner,Delhi,INC,15594,9516,National,61.02,416,4.37,Vidhan Sabha,
Delhi,JHANDAY WALAN,11,GEN,1951,Winner,Delhi,BJS,14428,8965,National,62.14,209,2.33,Vidhan Sabha,
Delhi,KASHMERE GATE,12,GEN,1951,Winner,Delhi,INC,16930,10702,National,63.21,809,7.56,Vidhan Sabha,
Delhi,CHANDNI CHOWK,13,GEN,1951,Winner,Delhi,INC,16911,8352,National,49.39,952,11.4,Vidhan Sabha,
Delhi,PHATAK HABASH KHAN,14,GEN,1951,Winner,Delhi,INC,13635,8212,National,60.23,1846,22.48,Vidhan Sabha,
Delhi,MALIWARA,15,GEN,1951,Winner,Delhi,INC,16083,9299,National,57.82,2733,29.39,Vidhan Sabha,
Delhi,BALLIMARAN,16,GEN,1951,Winner,Delhi,INC,16440,10243,National,62.31,1278,12.48,Vidhan Sabha,
Delhi,CHAWRI BAZAR,17,GEN,1951,Winner,Delhi,INC,15670,8988,National,57.36,3060,34.05,Vidhan Sabha,
Delhi,AJMERI GATE,18,GEN,1951,Winner,Delhi,INC,14932,9734,National,65.19,499,5.13,Vidhan Sabha,
Delhi,SITA RAM BAZAR TURKMAN GATE,19,GEN,1951,Winner 1,Delhi,INC,29395,32700,National,55.62,0,0,Vidhan Sabha,
Delhi,SITA RAM BAZAR TURKMAN GATE,19,GEN,1951,Winner 2,Delhi,INC,29395,32700,National,55.62,0,0,Vidhan Sabha,
Delhi,KUCHA CHELAN,20,GEN,1951,Winner,Delhi,SP,17265,9461,National,54.8,1016,10.74,Vidhan Sabha,
Delhi,DARYA GANJ,21,GEN,1951,Winner,Delhi,INC,17261,9692,National,56.15,555,5.73,Vidhan Sabha,
Delhi,CHANDRAWAL,22,GEN,1951,Winner,Delhi,INC,15855,9219,National,58.15,1532,16.62,Vidhan Sabha,
Delhi,ROSHANARA,23,GEN,1951,Winner,Delhi,INC,15855,9779,National,61.68,470,4.81,Vidhan Sabha,
Delhi,ARYA PURA,24,GEN,1951,Winner,Delhi,INC,17430,10431,National,59.85,2266,21.72,Vidhan Sabha,
Delhi,TOKRIWALAN,25,GEN,1951,Winner,Delhi,INC,14570,8372,National,57.46,666,7.96,Vidhan Sabha,
Delhi,DEPUTY GANJ,26,GEN,1951,Winner,Delhi,BJS,14626,8887,National,60.76,291,3.27,Vidhan Sabha,
Delhi,PAHARI DHIRAJ BASTI JULLAHAN,27,GEN,1951,Winner 1,Delhi,INC,29202,32397,National,55.47,0,0,Vidhan Sabha,
Delhi,PAHARI DHIRAJ BASTI JULLAHAN,27,GEN,1951,Winner 2,Delhi,INC,29202,32397,National,55.47,0,0,Vidhan Sabha,
Delhi,MANAK PURA,28,GEN,1951,Winner,Delhi,SP,16826,9988,National,59.36,58,0.58,Vidhan Sabha,
Delhi,TIBBIA COLLEGE,29,GEN,1951,Winner,Delhi,HMS,15838,10270,National,64.84,1242,12.09,Vidhan Sabha,
Delhi,NAIWALA,30,GEN,1951,Winner,Delhi,BJS,16295,10606,National,65.09,133,1.25,Vidhan Sabha,
Delhi,REHGAR PURA DEV NAGAR,31,GEN,1951,Winner 1,Delhi,INC,31019,32312,National,52.08,0,0,Vidhan Sabha,
Delhi,REHGAR PURA DEV NAGAR,31,GEN,1951,Winner 2,Delhi,INC,31019,32312,National,52.08,0,0,Vidhan Sabha,
Delhi,KISHAN GANJ ANAND PARBAT,32,GEN,1951,Winner,Delhi,INC,17787,10164,National,57.14,1913,18.82,Vidhan Sabha,
Delhi,CIVIL LINES,33,GEN,1951,Winner,Delhi,INC,14724,8652,National,58.76,1634,18.89,Vidhan Sabha,
Delhi,KINGSWAY CAMP,34,GEN,1951,Winner,Delhi,BJS,14817,7910,National,53.38,709,8.96,Vidhan Sabha,
Delhi,WAZIRABAD,35,GEN,1951,Winner,Delhi,INC,17642,11363,National,64.41,2723,23.96,Vidhan Sabha,
Delhi,SHAHDARA,36,GEN,1951,Winner,Delhi,INC,16727,11071,National,66.19,462,4.17,Vidhan Sabha,
Delhi,NARELA,37,GEN,1951,Winner 1,Delhi,INC,28153,37154,National,65.99,0,0,Vidhan Sabha,
Delhi,NARELA,37,GEN,1951,Winner 2,Delhi,INC,28153,37154,National,65.99,0,0,Vidhan Sabha,
Delhi,NANGLOI,38,GEN,1951,Winner,Delhi,INC,15966,10422,National,65.28,4517,43.34,Vidhan Sabha,
Delhi,KHANJHAWLA,39,GEN,1951,Winner,Delhi,IND,15335,11078,Independent,72.24,24,0.22,Vidhan Sabha,
Delhi,ISA PUR,40,GEN,1951,Winner,Delhi,INC,14885,8936,National,60.03,1633,18.27,Vidhan Sabha,
Delhi,NAJAF GARH,41,GEN,1951,Winner,Delhi,INC,15069,10689,National,70.93,3987,37.3,Vidhan Sabha,
Delhi,MEHRAULI,42,GEN,1951,Winner 1,Delhi,INC,29232,33022,National,56.48,0,0,Vidhan Sabha,
Delhi,MEHRAULI,42,GEN,1951,Winner 2,Delhi,INC,29232,33022,National,56.48,0,0,Vidhan Sabha,
